pkt_rate,pkt_delay,byte_rate,last_pkt,fid,num_pkt,first_pkt,des_add,pkt_in,duration_1,num_byte,duration_2,pkt_out,pkt_sz,is_broadcast,label
19755.02444323737,5.062003354505211e-05,829711.0266159695,1750261777.426213,2278760509819971843,36369,1750261775.585213,10.0.0.255,36369,1.8410000000000002,1527498,1.8410000000000002,36369,42.0,1,neine
16645.652173913044,6.007574768185974e-05,699117.3913043478,1750261783.774225,2278760509819971843,30628,1750261781.934225,10.0.0.255,30628,1.84,1286376,1.84,30628,42.0,1,neine
17712.812160694895,5.645630919177369e-05,743938.1107491857,1750261785.584925,2278760509819971843,32627,1750261783.742925,10.0.0.255,32627,1.842,1370334,1.842,32627,42.0,1,neine
17712.812160694895,5.645630919177369e-05,743938.1107491857,1750261785.593318,2278760509819971843,32627,1750261783.751318,10.0.0.255,32627,1.842,1370334,1.842,32627,42.0,1,neine
20760.043431053204,4.816945606694561e-05,871921.8241042345,1750261785.666425,2278760509819971843,38240,1750261783.824425,10.0.0.255,38240,1.842,1606080,1.842,38240,42.0,1,neine
18728.555917480997,5.33943996753435e-05,786599.348534202,1750261787.165321,2278760509819971843,34498,1750261785.323321,10.0.0.255,34498,1.842,1448916,1.842,34498,42.0,1,neine
18023.36763961532,5.548352671905789e-05,756981.4408638434,1750261797.580869,2278760509819971843,213649,1750261785.7268689,10.0.0.255,213649,11.854,8973258,11.854,213649,42.0,1,neine
18024.80384712731,5.5479105818917094e-05,757041.761579347,1750261799.041867,2278760509819971843,213648,1750261787.188867,10.0.0.255,213648,11.853,8973216,11.853,213648,42.0,1,neine
20710.610661268558,4.8284428516157935e-05,869845.6477732793,1750261799.467826,2278760509819971843,245545,1750261787.611826,10.0.0.255,245545,11.856,10312890,11.856,245545,42.0,1,neine
15759.17284289505,6.345510706488922e-05,661885.2594015921,1750261810.957312,2278760509819971843,344464,1750261789.099312,10.0.0.255,344464,21.858,14467488,21.858,344464,42.0,1,neine
22059.38923570103,4.533217077386688e-05,926494.3478994432,1750261812.559925,2278760509819971843,261492,1750261800.705925,10.0.0.255,261492,11.854,10982664,11.854,261492,42.0,1,neine
18656.678865507776,5.3600107886767935e-05,783580.5123513266,1750261814.455001,2278760509819971843,407835,1750261792.5950012,10.0.0.255,407835,21.86,17129070,21.86,407835,42.0,1,neine
15759.17284289505,6.345510706488922e-05,661885.2594015921,1750261819.151123,2278760509819971843,344464,1750261797.293123,10.0.0.255,344464,21.858,14467488,21.858,344464,42.0,1,neine
